name,distance,mass,radius
51 Pegasi b,50,0.46 jupiters,1995
NGC 2682 YBP 401 b,2777,0.46 jupiters,2016
WASP-52 b,457,0.46 jupiters,2012
GJ 3512 b,31,0.463 jupiters,2019
CoRoT-5 b,2951,0.467 jupiters,2009
HD 30669 b,186,0.47 jupiters,2014
OGLE-2012-BLG-0724L b,21855,0.47 jupiters,2016
WASP-172 b,1781,0.47 jupiters,2018
K2-210 b,579,0.474 earths,2018
WASP-113 b,1174,0.475 jupiters,2016
Kepler-1141 b,1191,0.477 earths,2016
Kepler-1446 b,528,0.477 earths,2016
Kepler-1601 b,2153,0.477 earths,2016
Kepler-32 f,1066,0.477 earths,2012
Kepler-390 b,1438,0.477 earths,2014
Kepler-910 b,1311,0.477 earths,2016
WASP-31 b,1174,0.478 jupiters,2010
HAT-P-40 b,1535,0.48 jupiters,2012
HD 330075 b,148,0.48 jupiters,2004
K2-97 b,2837,0.48 jupiters,2016
WASP-96 b,1161,0.48 jupiters,2014
HD 210193 b,138,0.4817 jupiters,2019
CoRoT-28 b,1827,0.484 jupiters,2015
HD 6434 b,138,0.49 jupiters,2003
HD 75289 b,95,0.49 jupiters,1999
K2-132 b,2024,0.49 jupiters,2017
HAT-P-46 b,966,0.493 jupiters,2014
K2-257 b,209,0.498 earths,2018
Kepler-1412 b,2084,0.498 earths,2016
Kepler-314 b,884,0.498 earths,2014
Kepler-345 b,1182,0.5 earths,2014
K2-137 b,323,0.5 jupiters,2017
Kepler-1654 b,1884,0.5 jupiters,2018
Kepler-32 c,1066,0.5 jupiters,2011
WASP-94 A b,693,0.5 jupiters,2014
WASP-183 b,1070,0.502 jupiters,2019
Kepler-45 b,1086,0.505 jupiters,2011
HD 7449 b,126,0.508 jupiters,2011
WASP-177 b,581,0.508 jupiters,2019
HD 212301 b,177,0.51 jupiters,2005
OGLE-2014-BLG-0124L b,13374,0.51 jupiters,2015
WASP-101 b,660,0.51 jupiters,2014
Kepler-450 d,1507,0.514 earths,2015
WASP-118 b,1241,0.514 jupiters,2016
Kepler-1507 b,1116,0.52 earths,2016
Kepler-1579 b,1520,0.52 earths,2016
CoRoT-26 b,5448,0.52 jupiters,2013
HD 208487 b,144,0.52 jupiters,2004
KELT-6 b,791,0.52 jupiters,2014
WASP-62 b,576,0.52 jupiters,2012
HD 160691 e,51,0.5219 jupiters,2006
HD 187123 b,150,0.523 jupiters,1998
HAT-P-1 b,521,0.525 jupiters,2006
HATS-10 b,1618,0.526 jupiters,2015
HIP 57274 d,84,0.5267 jupiters,2011
HAT-P-65 b,2743,0.527 jupiters,2016
WASP-42 b,581,0.527 jupiters,2012
HATS-27 b,2740,0.53 jupiters,2016
HD 63765 b,106,0.53 jupiters,2009
OGLE-2011-BLG-0251L b,8383,0.53 jupiters,2012
PH1 b,3262,0.531 jupiters,2012
Kepler-238 e,6190,0.534 jupiters,2013
CoRoT-16 b,2740,0.535 jupiters,2011
WASP-80 b,163,0.538 jupiters,2012
47 Ursae Majoris c,45,0.54 jupiters,2001
HD 181433 d,88,0.54 jupiters,2008
MOA-2010-BLG-117L b,11417,0.54 jupiters,2018
Pr0201 b,592,0.54 jupiters,2012
WASP-15 b,928,0.54 jupiters,2009
Kepler-1385 b,1719,0.543 earths,2016
HATS-13 b,1553,0.543 jupiters,2015
OGLE-TR-111 b,3578,0.55 jupiters,2004
WASP-159 b,2383,0.55 jupiters,2018
WASP-60 b,1423,0.55 jupiters,2012
HATS-44 b,1510,0.56 jupiters,2018
HD 192263 b,64,0.56 jupiters,1999
HD 207832 b,193,0.56 jupiters,2012
Kepler-41 b,3680,0.56 jupiters,2011
OGLE-2014-BLG-1760L b,22377,0.56 jupiters,2016
WASP-34 b,433,0.56 jupiters,2010
WASP-169 b,2082,0.561 jupiters,2019
Kepler-1258 b,2124,0.566 earths,2016
Kepler-1361 b,1318,0.566 earths,2016
Kepler-1435 b,2221,0.566 earths,2016
Kepler-352 b,830,0.566 earths,2014
Kepler-388 c,1994,0.566 earths,2014
Kepler-605 c,1859,0.566 earths,2016
XO-2 N b,505,0.566 jupiters,2007
HAT-P-25 b,988,0.569 jupiters,2010
HD 216770 b,120,0.57 jupiters,2003
Kepler-56 c,3056,0.57 jupiters,2012
WASP-184 b,2088,0.57 jupiters,2019
WASP-157 b,1102,0.574 jupiters,2016
HATS-69 b,1371,0.577 jupiters,2018
K2-30 b,1097,0.579 jupiters,2016
HAT-P-17 b,302,0.58 jupiters,2010
HD 44219 b,164,0.58 jupiters,2010
HAT-P-55 b,1566,0.582 jupiters,2015
K2-209 b,250,0.586 earths,2018
Kepler-1031 b,2417,0.59 earths,2016
Kepler-1152 b,600,0.59 earths,2016
Kepler-1542 d,1096,0.59 earths,2016
Kepler-607 b,1631,0.59 earths,2016
BD-10 3166 b,276,0.59 jupiters,2000
HIP 14810 d,165,0.59 jupiters,2009
Kepler-8 b,3435,0.59 jupiters,2010
WASP-54 b,825,0.59 jupiters,2012
WASP-70 A b,799,0.59 jupiters,2014
Wendelstein-1 b,1005,0.592 jupiters,2020
HATS-53 b,2000,0.595 jupiters,2017
Kepler-423 b,2365,0.595 jupiters,2014
HD 175541 b,424,0.598 jupiters,2007
HAT-P-39 b,2094,0.599 jupiters,2012
Kepler-85 e,2551,0.6 earths,2014
HD 43197 b,184,0.6 jupiters,2010
MOA-bin-29 b,23225,0.6 jupiters,2019
WASP-124 b,1412,0.6 jupiters,2016
HATS-56 b,1883,0.602 jupiters,2019
WASP-55 b,979,0.61 jupiters,2012
HD 114783 c,67,0.611 jupiters,2018
HATS-25 b,1520,0.613 jupiters,2016
Kepler-1416 b,2632,0.615 earths,2016
Kepler-342 e,2608,0.615 earths,2016
Kepler-362 b,3666,0.615 earths,2014
Kepler-398 d,582,0.615 earths,2016
WASP-94 B b,587,0.618 jupiters,2014
TRAPPIST-1 e,41,0.62 earths,2017
HAT-P-27 b,665,0.62 jupiters,2011
HD 103720 b,136,0.62 jupiters,2014
HD 31253 b,190,0.62 jupiters,2010
MOA-2016-BLG-319L b,22182,0.62 jupiters,2018
OGLE-TR-10 b,4522,0.62 jupiters,2004
HD 11964 b,110,0.622 jupiters,2005
HAT-P-28 b,1288,0.626 jupiters,2011
TOI-216.01,583,0.62927 jupiters,2019
HATS-39 b,2522,0.63 jupiters,2018
Kepler-74 b,3974,0.63 jupiters,2013
WASP-90 b,1109,0.63 jupiters,2016
K2-223 b,656,0.64 earths,2018
K2-223 b,656,0.64 earths,2018
Kepler-1027 b,949,0.64 earths,2016
Kepler-1173 b,1311,0.64 earths,2016
Kepler-1352 b,2078,0.64 earths,2016
Kepler-138 d,219,0.64 earths,2014
Kepler-1408 b,1390,0.64 earths,2016
Kepler-1560 b,1726,0.64 earths,2016
Kepler-1637 b,1651,0.64 earths,2016
Kepler-303 b,688,0.64 earths,2014
Kepler-353 b,1269,0.64 earths,2014
Kepler-387 c,2675,0.64 earths,2014
Kepler-780 b,1696,0.64 earths,2016
HD 181433 c,88,0.64 jupiters,2008
KMT-2019-BLG-1953L b,22964,0.64 jupiters,2020
OGLE-2013-BLG-1721L b,20551,0.64 jupiters,2017
WASP-57 b,1314,0.644 jupiters,2012
BD-11 4672 b,89,0.65 jupiters,2014
HAT-P-3 b,441,0.65 jupiters,2007
HATS-26 b,2959,0.65 jupiters,2016
HD 37124 c,103,0.652 jupiters,2002
HATS-29 b,1145,0.653 jupiters,2016
KOI-55 c,3849,0.655 earths,2011
HD 45364 c,112,0.6579 jupiters,2008
WASP-165 b,1902,0.658 jupiters,2018
HD 141399 e,118,0.66 jupiters,2014
HD 170469 b,197,0.66 jupiters,2007
KELT-8 b,648,0.66 jupiters,2015
Kepler-15 b,2464,0.66 jupiters,2011
TOI-1899 b,419,0.66 jupiters,2020
HAT-P-43 b,1768,0.662 jupiters,2012
HATS-60 b,1612,0.662 jupiters,2018
HD 27894 b,143,0.665 jupiters,2005
EPIC 206215704 b,360,0.666 earths,2019
Kepler-1398 b,2587,0.666 earths,2016
Kepler-1547 b,2169,0.666 earths,2016
Kepler-6 b,1948,0.668 jupiters,2009
Qatar-6 b,330,0.668 jupiters,2017
HD 211810 b,211,0.67 jupiters,2018
WASP-22 b,1045,0.67 jupiters,2010
HAT-P-4 b,1024,0.671 jupiters,2007
HATS-28 b,1700,0.672 jupiters,2016
KOI-142 c,1106,0.674 jupiters,2013
HD 37124 b,103,0.675 jupiters,2002
KELT-10 b,597,0.679 jupiters,2016
TRAPPIST-1 f,41,0.68 earths,2017
GJ 832 b,16,0.68 jupiters,2008
HAT-P-32 b,951,0.68 jupiters,2011
HD 8535 b,171,0.68 jupiters,2010
Upsilon Andromedae b,44,0.6876 jupiters,1996
Kepler-1296 b,2058,0.693 earths,2016
Kepler-1525 b,1292,0.693 earths,2016
Kepler-197 e,1089,0.693 earths,2014
WASP-84 b,408,0.694 jupiters,2014
HD 37124 d,103,0.696 jupiters,2005
HATS-45 b,2668,0.7 jupiters,2018
HD 224693 b,306,0.7 jupiters,2006
HD 32963 b,124,0.7 jupiters,2015
HD 9446 b,164,0.7 jupiters,2009
V830 Tauri b,489,0.7 jupiters,2016
HATS-30 b,1106,0.706 jupiters,2016
XO-7 b,764,0.709 jupiters,2019
Kepler-245 c,2879,0.71 jupiters,2014
KMT-2017-BLG-1146L b,21203,0.71 jupiters,2019
WASP-35 b,663,0.71 jupiters,2011
GJ 876 c,15,0.7142 jupiters,2000
HD 96167 b,279,0.717 jupiters,2009
CoRoT-4 b,2419,0.72 jupiters,2008
Kepler-49 c,1024,0.72 jupiters,2012
OGLE-2015-BLG-0051L b,26748,0.72 jupiters,2016
WASP-74 b,489,0.72 jupiters,2015
Kepler-119 c,2336,0.721 earths,2014
Kepler-1338 b,2019,0.721 earths,2016
Kepler-1365 b,1765,0.721 earths,2016
Kepler-1367 b,1165,0.721 earths,2016
Kepler-1607 b,2398,0.721 earths,2016
Kepler-779 b,731,0.721 earths,2016
WASP-81 b,1314,0.729 jupiters,2017
HD 207832 c,193,0.73 jupiters,2012
HD 209458 b,158,0.73 jupiters,1999
K2-29 b,585,0.73 jupiters,2016
OGLE-2006-BLG-109L b,4926,0.73 jupiters,2008
Wendelstein-2 b,1874,0.731 jupiters,2020
Qatar-10 b,1758,0.736 jupiters,2019
HD 156411 b,186,0.74 jupiters,2009
NGTS-2 b,1175,0.74 jupiters,2018
Kepler-1387 b,1602,0.749 earths,2016
Kepler-1421 b,2202,0.749 earths,2016
Kepler-1505 b,1171,0.749 earths,2016
Kepler-398 b,582,0.749 earths,2014
HAT-P-9 b,1566,0.749 jupiters,2008
YZ Ceti b,12,0.75 earths,2017
HAT-P-24 b,1371,0.75 jupiters,2010
OGLE-2017-BLG-1522L b,,0.75 jupiters,2018
HAT-P-54 b,471,0.76 jupiters,2015
HATS-54 b,2508,0.76 jupiters,2019
HATS-51 b,1559,0.768 jupiters,2017
HD 159868 c,182,0.768 jupiters,2012
Kepler-128 b,1308,0.77 earths,2013
K2-290 c,897,0.774 jupiters,2019
Kepler-1169 b,1755,0.779 earths,2016
Kepler-1425 b,1628,0.779 earths,2016
Kepler-1438 b,2825,0.779 earths,2016
Kepler-1572 b,1957,0.779 earths,2016
Epsilon Eridani b,11,0.78 jupiters,2000
TrES-4 b,1708,0.78 jupiters,2007
WASP-17 b,1339,0.78 jupiters,2009
HAT-P-66 b,3024,0.783 jupiters,2016
HD 163607 b,222,0.7836 jupiters,2010
HIP 65407 c,181,0.784 jupiters,2016
HD 197037 b,108,0.79 jupiters,2012
OGLE-2016-BLG-1227L b,,0.79 jupiters,2020
WASP-11 b,408,0.79 jupiters,2008
TOI-169 b,1346,0.791 jupiters,2020
PSR J2322-2650 b,750,0.7949 jupiters,2017
HD 38529 b,138,0.797 jupiters,2000
